VariationID;MarketID;MarketAccountID;SKU;ParentSKU
1663;4;0;TrLeggingsBatik2Tydy04green;LeggingsBatik2 parent
1664;4;0;TrLeggingsBatik2Tydy05beige;LeggingsBatik2 parent
1665;4;0;TrLeggingsBatik2Tydy06purple;LeggingsBatik2 parent
1666;4;0;TrLeggingsBatik2Tydy07redbrown;LeggingsBatik2 parent
1667;4;0;TrLeggingsBatik2Tydy10Lilaton;LeggingsBatik2 parent
1668;4;0;TrLeggingsBatik2Tydy11Braunton;LeggingsBatik2 parent
1669;4;0;TrLeggingsBatik2Tydy12Blauton;LeggingsBatik2 parent
1670;4;0;TrLeggingsBatik2Tydy13Blaubunt;LeggingsBatik2 parent
1671;4;0;TrLeggingsBatik2Tydy14olive;LeggingsBatik2 parent
1672;4;0;TrLeggingsBatik2Tydy15purple;LeggingsBatik2 parent
1673;4;0;TrLeggingsBatik2Tydy16blau;LeggingsBatik2 parent
1674;4;0;TrLeggingsBatik2tzdz08turkis;LeggingsBatik2 parent
1675;4;0;TrLeggingsBatik2tzdz09braunton;LeggingsBatik2 parent
1676;4;0;TrLeggingsBatikCT01Gruenton;LeggingsBatik1 parent
1677;4;0;TrLeggingsBatikCT02Lilaton;LeggingsBatik1 parent
1678;4;0;TrLeggingsBatikCT03Blauton;LeggingsBatik1 parent
1679;4;0;TrLeggingsBatikCT04Lilaton;LeggingsBatik1 parent
1680;4;0;TrLeggingsBatikCT05Braunton;LeggingsBatik1 parent
1681;4;0;TrLeggingsBatikDgruen;LeggingsBatik1 parent
1682;4;0;TrLeggingsBatikJeansBlau;LeggingsBatik1 parent
1683;4;0;TrLeggingsBatikLila;LeggingsBatik1 parent
1684;4;0;TrLeggingsBatikLila2;LeggingsBatik1 parent
1685;4;0;TrLeggingsBatikNavyBlau;LeggingsBatik1 parent
1686;4;0;TrLeggingsBatikSchwarz;LeggingsBatik1 parent
1687;4;0;TrLeggingsBatikTH01BlackPurple;LeggingsBatik1 parent
1688;4;0;TrLeggingsBatikTH02Black;LeggingsBatik1 parent
1689;4;0;TrLeggingsN001_Pants;LeggingsNparent
1690;4;0;TrLeggingsN002_Pants;LeggingsNparent
1691;4;0;TrLeggingsN003_Pants;LeggingsNparent
1692;4;0;TrLeggingsN004_Pants_brown;LeggingsNparent
1693;4;0;TrLeggingsN005_Pants;LeggingsNparent
1694;4;0;TrLeggingsN006_Pants;LeggingsNparent
1695;4;0;TrLeggingsN007_Pants;LeggingsNparent
1696;4;0;TrLeggingsN008_Pants;LeggingsNparent
1697;4;0;TrLeggingsN009_Pants;LeggingsNparent
1698;4;0;TrLeggingsN010_Pants;LeggingsNparent
1699;4;0;TrLeggingsN011_Pants;LeggingsNparent
1700;4;0;TrLeggingsU001_Pants;LeggingsNparent
1701;4;0;TrLeggingsU002_Pants;LeggingsNparent
1702;4;0;TrLeggingsU003_Pants;LeggingsNparent
1703;4;0;TrLeggingsU004_Pants;LeggingsNparent
